id,nom,type,etat,commune,lon,lat,categorie
229.0,Place Marjolaine Bamboche,METALCO,fonctionnelle,33063,-0.5494362116564037,44.873672860990595,Fontaine
233.0,Nouvelle Gare Routière,METALCO,fonctionnelle,33063,-0.5541309902546113,44.82965810318917,Fontaine
235.0,Place Alice Girou,METALCO,fonctionnelle,33063,-0.5546195530513094,44.86190453518164,Fontaine
237.0,Stade Promis n2 (côté rue Joseph Fauré),PRESTO,fonctionnelle,33063,-0.5508432030345474,44.83900517287617,Fontaine
238.0,Square Armand Faulat,METALCO,fonctionnelle,33063,-0.6147476111158188,44.84564228377359,Fontaine
239.0,Place Mareilhac,PRESTO,fonctionnelle,33063,-0.5511596021815374,44.876443745550496,Fontaine
240.0,Parc Chantecrit - Aire de jeux,PRESTO,fonctionnelle,33063,-0.5642104097313205,44.86341674487912,Fontaine
244.0,Place rue du Lavoir,METALCO,fonctionnelle,33063,-0.5838476560910382,44.85175890416004,Fontaine
251.0,"Place du 14 juillet, Bordeaux",METALCO,fonctionnelle,33063,-0.6026299540890759,44.84806530437052,Fontaine
255.0,place d'armagnac,METALCO,fonctionnelle,33063,-0.5542893807358921,44.819294952573976,Fontaine
259.0,Placette Murielle Franco,METALCO,fonctionnelle,33063,-0.5570698522628431,44.84083041178901,Fontaine
264.0,jardin de ta sœur,METALCO,fonctionnelle,33063,-0.5614077910919264,44.859703614310106,Fontaine
265.0,Place Ozanam,METALCO,hors service,33063,-0.6138241749267075,44.85041247481959,Fontaine
269.0,GS Elsa Triolet,METALCO,fonctionnelle,33063,-0.5408300316626596,44.857175939864135,Fontaine
270.0,Avenue des 40 journeaux bordeaux lac,METALCO,fonctionnelle,33063,-0.5681393044595456,44.879122557608696,Fontaine
273.0,Square Jacques Nancy (placette henri labit),METALCO,fonctionnelle,33063,-0.5888622914009186,44.83837435154579,Fontaine
277.0,Eglise Belcier,METALCO,fonctionnelle,33063,-0.5503865544584905,44.824351024651875,Fontaine
281.0,Square du Grand Parc n°5 - Aire Musculation,METALCO,fonctionnelle,33063,-0.5847329198668914,44.85965708405375,Fontaine
283.0,Parc Bordelais - aire de jeux n°2 (nouvelle aire),METALCO,fonctionnelle,33063,-0.6039544809024793,44.855318761848075,Fontaine
2.0,Place Emile Combes,METALCO,fonctionnelle,33063,-0.6083472666622323,44.836501969276604,Fontaine
6.0,Place Simiot,BAYARD,fonctionnelle,33063,-0.5771945162018686,44.82292343589155,Fontaine
12.0,Place Flornoy (jardin de Lili),METALCO,fonctionnelle,33063,-0.6112555216639495,44.83311823761235,Fontaine
14.0,Gare Saint Jean (Place Casablanca),TANA,fonctionnelle,33063,-0.5574803650018081,44.82623087927816,Fontaine
15.0,Gare Saint Jean (arêt tram),TANA,fonctionnelle,33063,-0.5570660799948963,44.826092192611895,Fontaine
17.0,Cours Victor Hugo n°1,TANA,fonctionnelle,33063,-0.5691354216658818,44.83559128593849,Fontaine
18.0,Cours Victor Hugo n°2,TANA,fonctionnelle,33063,-0.5731999045710274,44.83497269833371,Fontaine
19.0,Cours Victor Hugo n°3,TANA,hors service,33063,-0.5669914383462348,44.8358593168154,Fontaine
21.0,Poste Bacalan,TANA,hors service,33063,-0.546200964913543,44.87337954133794,Fontaine
29.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5679440966723421,44.83962858760882,Fontaine
